scenario,step,phase,phase_label,is_yellow,phase_duration,hw_bal_count,hw_bal_score,hw_bal_queue,hw_bal_wait,hw_kum_count,hw_kum_score,hw_kum_queue,hw_kum_wait,gch_count,gch_score,gch_queue,gch_wait,time_norm,is_peak,vehicles_served,avg_wait,queue_total
week2_1618,36000.0,0,highway_green,0,112.7796143,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1,0,753.0,10
week2_1618,36119.0,1,highway_yellow,1,3.0,4,4.0,0,0.0,8,9.0,0,0.0,11,12.399999999999999,10,753.0,1.0,1,23,684.0,9
week2_1618,36122.0,2,gch_green,0,26.5758427,5,5.0,0,0.0,8,9.0,0,0.0,11,12.399999999999999,9,684.0,1.0,1,24,113.0,8
week2_1618,36148.0,3,gch_yellow,1,3.0,8,8.5,4,63.0,14,15.2,4,50.0,2,2.0,0,0.0,1.0,1,24,45.0,8
week2_1618,36151.0,0,highway_green,0,112.7796143,6,6.0,2,21.0,13,14.2,5,22.0,2,2.0,1,2.0,1.0,1,21,422.0,6
week2_1618,36269.0,1,highway_yellow,1,3.0,5,5.0,0,0.0,8,8.2,0,0.0,6,6.0,6,422.0,1.0,1,19,317.0,5
week2_1618,36272.0,2,gch_green,0,26.5758427,5,5.0,0,0.0,9,9.2,0,0.0,5,5.0,5,317.0,1.0,1,19,106.0,10
week2_1618,36298.0,3,gch_yellow,1,3.0,7,7.5,5,30.0,15,16.2,5,76.0,0,0.0,0,0.0,1.0,1,22,59.0,7
week2_1618,36301.0,0,highway_green,0,112.7796143,7,7.5,3,18.0,13,14.2,3,41.0,1,1.0,1,0.0,1.0,1,21,212.0,4
week2_1618,36419.0,1,highway_yellow,1,3.0,3,2.7,0,0.0,8,8.5,0,0.0,5,4.5,4,212.0,1.0,1,16,126.0,3
week2_1618,36422.0,2,gch_green,0,26.5758427,5,5.2,0,0.0,8,8.5,0,0.0,5,4.5,3,126.0,1.0,1,18,78.0,7
week2_1618,36448.0,3,gch_yellow,1,3.0,6,6.2,2,24.0,14,15.2,5,54.0,1,1.0,0,0.0,1.0,1,21,33.0,6
week2_1618,36451.0,0,highway_green,0,112.7796143,4,4.0,1,2.0,13,14.2,4,31.0,2,1.5,1,0.0,1.0,1,19,335.0,6
week2_1618,36569.0,1,highway_yellow,1,3.0,5,6.0,0,0.0,10,10.2,0,0.0,6,5.5,6,335.0,1.0,1,21,241.0,5
week2_1618,36572.0,2,gch_green,0,26.5758427,5,6.0,0,0.0,11,11.2,0,0.0,5,4.5,5,241.0,1.0,1,21,200.0,14
week2_1618,36598.0,3,gch_yellow,1,3.0,8,9.5,4,56.0,18,19.2,10,144.0,0,0.0,0,0.0,1.0,1,26,144.0,12
week2_1618,36601.0,0,highway_green,0,112.7796143,8,9.7,3,23.0,17,18.2,8,121.0,1,1.0,1,0.0,1.0,1,26,268.0,4
week2_1618,36719.0,1,highway_yellow,1,3.0,4,4.0,0,0.0,8,9.5,0,0.0,5,5.0,4,268.0,1.0,1,17,180.0,3
week2_1618,36722.0,2,gch_green,0,26.5758427,6,7.0,0,0.0,8,9.5,0,0.0,5,5.0,3,180.0,1.0,1,19,111.0,7
week2_1618,36748.0,3,gch_yellow,1,3.0,7,8.0,1,14.0,16,18.7,6,97.0,0,0.0,0,0.0,1.0,1,23,73.0,6
week2_1618,36751.0,0,highway_green,0,112.7796143,5,5.5,0,0.0,15,16.2,6,73.0,0,0.0,0,0.0,1.0,1,20,225.0,5
week2_1618,36869.0,1,highway_yellow,1,3.0,5,5.0,0,0.0,8,9.0,0,0.0,5,4.5,5,225.0,1.0,1,18,154.0,4
week2_1618,36872.0,2,gch_green,0,26.5758427,5,5.0,0,0.0,9,10.2,0,0.0,4,3.5,4,154.0,1.0,1,18,145.0,11
week2_1618,36898.0,3,gch_yellow,1,3.0,8,8.5,4,74.0,14,15.2,7,71.0,0,0.0,0,0.0,1.0,1,22,86.0,8
week2_1618,36901.0,0,highway_green,0,112.7796143,7,8.0,2,36.0,14,15.2,5,50.0,1,1.0,1,0.0,1.0,1,22,310.0,5
week2_1618,37019.0,1,highway_yellow,1,3.0,5,5.2,0,0.0,7,7.2,0,0.0,5,4.5,5,310.0,1.0,1,17,225.0,4
week2_1618,37022.0,2,gch_green,0,26.5758427,5,5.2,0,0.0,8,8.2,0,0.0,5,4.5,4,225.0,1.0,1,18,93.0,9
week2_1618,37048.0,3,gch_yellow,1,3.0,7,7.7,3,36.0,14,14.7,6,57.0,1,1.0,0,0.0,1.0,1,22,43.0,7
week2_1618,37051.0,0,highway_green,0,112.7796143,6,6.5,2,10.0,12,12.5,5,33.0,1,1.0,0,0.0,1.0,1,19,235.0,5
week2_1618,37169.0,1,highway_yellow,1,3.0,3,2.5,0,0.0,9,10.0,0,0.0,5,5.0,5,235.0,1.0,1,17,139.0,4
week2_1618,37172.0,2,gch_green,0,26.5758427,3,2.5,0,0.0,9,10.0,0,0.0,4,4.0,4,139.0,1.0,1,16,117.0,7
week2_1618,37198.0,3,gch_yellow,1,3.0,6,6.0,2,33.0,14,15.2,5,84.0,0,0.0,0,0.0,1.0,1,20,49.0,6
week2_1618,37201.0,0,highway_green,0,112.7796143,5,5.2,0,0.0,13,14.2,5,49.0,1,1.0,1,0.0,1.0,1,19,341.0,5
week2_1618,37319.0,1,highway_yellow,1,3.0,4,4.0,0,0.0,8,8.7,0,0.0,6,5.5,5,341.0,1.0,1,18,259.0,4
week2_1618,37322.0,2,gch_green,0,26.5758427,5,5.0,0,0.0,9,9.7,0,0.0,6,5.5,4,259.0,1.0,1,20,102.0,8
week2_1618,37348.0,3,gch_yellow,1,3.0,8,8.5,3,31.0,14,15.2,5,71.0,0,0.0,0,0.0,1.0,1,22,46.0,6
week2_1618,37351.0,0,highway_green,0,112.7796143,6,6.0,1,5.0,12,13.2,4,41.0,1,0.5,1,0.0,1.0,1,19,267.0,5
week2_1618,37469.0,1,highway_yellow,1,3.0,6,7.0,0,0.0,5,5.0,0,0.0,5,4.5,5,267.0,1.0,1,16,191.0,4
week2_1618,37472.0,2,gch_green,0,26.5758427,6,7.0,0,0.0,5,5.0,0,0.0,5,4.5,4,191.0,1.0,1,16,92.0,7
week2_1618,37498.0,3,gch_yellow,1,3.0,7,8.0,3,47.0,13,14.2,4,45.0,0,0.0,0,0.0,1.0,1,20,36.0,5
week2_1618,37501.0,0,highway_green,0,112.7796143,5,5.0,1,19.0,12,13.2,3,17.0,1,1.0,1,0.0,1.0,1,18,217.0,4
week2_1618,37619.0,1,highway_yellow,1,3.0,5,5.2,0,0.0,8,9.7,0,0.0,5,4.5,4,217.0,1.0,1,18,131.0,3
week2_1618,37622.0,2,gch_green,0,26.5758427,6,7.2,0,0.0,9,10.7,0,0.0,5,4.5,3,131.0,1.0,1,20,142.0,10
week2_1618,37648.0,3,gch_yellow,1,3.0,9,10.7,4,56.0,15,16.7,6,86.0,1,1.0,0,0.0,1.0,1,25,89.0,8
week2_1618,37651.0,0,highway_green,0,112.7796143,7,8.2,2,24.0,13,14.7,6,65.0,1,1.0,0,0.0,1.0,1,21,251.0,5
week2_1618,37769.0,1,highway_yellow,1,3.0,4,4.0,0,0.0,7,7.2,0,0.0,5,5.0,5,251.0,1.0,1,16,153.0,4
week2_1618,37772.0,2,gch_green,0,26.5758427,4,4.0,0,0.0,8,8.2,0,0.0,4,4.0,4,153.0,1.0,1,16,95.0,8
week2_1618,37798.0,3,gch_yellow,1,3.0,5,5.0,1,13.0,13,14.2,7,82.0,0,0.0,0,0.0,1.0,1,18,62.0,7
week2_1618,37801.0,0,highway_green,0,112.7796143,5,5.7,1,2.0,13,14.5,5,60.0,1,1.0,1,0.0,1.0,1,19,684.0,9
week2_1618,37919.0,1,highway_yellow,1,3.0,4,4.0,0,0.0,9,10.0,0,0.0,10,11.899999999999999,9,684.0,1.0,1,23,610.0,8
week2_1618,37922.0,2,gch_green,0,26.5758427,5,5.0,0,0.0,9,10.0,0,0.0,10,11.899999999999999,8,610.0,1.0,1,24,149.0,11
