scenario,step,phase,phase_label,is_yellow,phase_duration,hw_bal_count,hw_bal_score,hw_bal_queue,hw_bal_wait,hw_kum_count,hw_kum_score,hw_kum_queue,hw_kum_wait,gch_count,gch_score,gch_queue,gch_wait,time_norm,is_peak,vehicles_served,avg_wait,queue_total
week1_1618,36000.0,0,highway_green,0,112.7796143,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1,0,763.0,11
week1_1618,36119.0,1,highway_yellow,1,3.0,3,3.5,0,0.0,9,8.5,0,0.0,11,12.399999999999999,11,763.0,1.0,1,23,697.0,10
week1_1618,36122.0,2,gch_green,0,26.5758427,3,3.0,0,0.0,11,11.0,0,0.0,11,12.399999999999999,10,697.0,1.0,1,25,110.0,10
week1_1618,36148.0,3,gch_yellow,1,3.0,7,7.5,2,15.0,17,17.0,8,95.0,2,2.0,0,0.0,1.0,1,26,67.0,8
week1_1618,36151.0,0,highway_green,0,112.7796143,5,5.0,0,0.0,17,17.2,6,65.0,3,3.0,2,2.0,1.0,1,25,461.0,6
week1_1618,36269.0,1,highway_yellow,1,3.0,4,4.0,0,0.0,10,11.0,0,0.0,7,7.0,6,461.0,1.0,1,21,359.0,6
week1_1618,36272.0,2,gch_green,0,26.5758427,5,5.5,0,0.0,11,12.0,0,0.0,6,6.0,6,359.0,1.0,1,22,187.0,11
week1_1618,36298.0,3,gch_yellow,1,3.0,7,7.5,2,39.0,18,19.5,9,148.0,0,0.0,0,0.0,1.0,1,25,128.0,10
week1_1618,36301.0,0,highway_green,0,112.7796143,7,8.0,1,3.0,18,18.7,8,125.0,1,1.0,1,0.0,1.0,1,26,274.0,4
week1_1618,36419.0,1,highway_yellow,1,3.0,4,3.5,0,0.0,9,10.5,0,0.0,5,5.0,4,274.0,1.0,1,18,190.0,4
week1_1618,36422.0,2,gch_green,0,26.5758427,5,4.5,0,0.0,10,11.5,0,0.0,5,5.0,4,190.0,1.0,1,20,150.0,11
week1_1618,36448.0,3,gch_yellow,1,3.0,8,8.0,3,40.0,19,20.5,8,110.0,0,0.0,0,0.0,1.0,1,27,89.0,8
week1_1618,36451.0,0,highway_green,0,112.7796143,6,6.5,1,8.0,19,20.7,6,81.0,1,1.0,1,0.0,1.0,1,26,248.0,5
