scenario,step,phase,phase_label,is_yellow,phase_duration,hw_bal_count,hw_bal_score,hw_bal_queue,hw_bal_wait,hw_kum_count,hw_kum_score,hw_kum_queue,hw_kum_wait,gch_count,gch_score,gch_queue,gch_wait,time_norm,is_peak,vehicles_served,avg_wait,queue_total
week1_1113,18000.0,0,highway_green,0,112.7796143,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1,0,665.0,8
week1_1113,18119.0,1,highway_yellow,1,3.0,5,5.5,0,0.0,10,11.0,0,0.0,10,11.399999999999999,8,665.0,1.0,1,25,589.0,7
week1_1113,18122.0,2,gch_green,0,26.5758427,5,5.5,0,0.0,10,11.0,0,0.0,9,10.399999999999999,7,589.0,1.0,1,24,166.0,13
week1_1113,18148.0,3,gch_yellow,1,3.0,7,7.0,4,65.0,15,16.0,9,101.0,0,0.0,0,0.0,1.0,1,22,110.0,9
week1_1113,18151.0,0,highway_green,0,112.7796143,6,6.5,2,34.0,15,15.5,7,76.0,0,0.0,0,0.0,1.0,1,21,46.0,2
week1_1113,18269.0,1,highway_yellow,1,3.0,2,2.5,0,0.0,7,8.0,0,0.0,2,2.0,2,46.0,1.0,1,11,18.0,1
week1_1113,18272.0,2,gch_green,0,26.5758427,3,3.5,0,0.0,8,9.0,0,0.0,1,1.0,1,18.0,1.0,1,12,75.0,7
week1_1113,18298.0,3,gch_yellow,1,3.0,6,6.0,2,19.0,13,14.0,5,56.0,0,0.0,0,0.0,1.0,1,19,27.0,3
week1_1113,18301.0,0,highway_green,0,112.7796143,5,5.0,0,0.0,13,13.5,3,27.0,0,0.0,0,0.0,1.0,1,18,179.0,4
week1_1113,18419.0,1,highway_yellow,1,3.0,4,4.0,0,0.0,7,7.0,0,0.0,4,3.0,4,179.0,1.0,1,15,111.0,3
week1_1113,18422.0,2,gch_green,0,26.5758427,5,5.0,0,0.0,7,7.0,0,0.0,3,2.0,3,111.0,1.0,1,15,90.0,7
week1_1113,18448.0,3,gch_yellow,1,3.0,5,5.0,2,18.0,15,16.0,5,72.0,0,0.0,0,0.0,1.0,1,20,39.0,5
week1_1113,18451.0,0,highway_green,0,112.7796143,4,4.0,0,0.0,15,15.7,5,39.0,0,0.0,0,0.0,1.0,1,19,97.0,2
week1_1113,18569.0,1,highway_yellow,1,3.0,3,3.5,0,0.0,8,8.5,0,0.0,2,2.0,2,97.0,1.0,1,13,19.0,1
week1_1113,18572.0,2,gch_green,0,26.5758427,4,4.5,0,0.0,9,9.5,0,0.0,1,1.0,1,19.0,1.0,1,14,125.0,10
week1_1113,18598.0,3,gch_yellow,1,3.0,7,7.0,3,38.0,15,16.5,7,87.0,1,1.0,0,0.0,1.0,1,23,75.0,7
week1_1113,18601.0,0,highway_green,0,112.7796143,7,7.2,1,12.0,15,15.5,6,63.0,1,1.0,0,0.0,1.0,1,23,176.0,2
week1_1113,18719.0,1,highway_yellow,1,3.0,3,3.5,0,0.0,8,9.0,0,0.0,3,3.0,2,176.0,1.0,1,14,65.0,3
week1_1113,18722.0,2,gch_green,0,26.5758427,6,6.5,0,0.0,9,10.5,0,0.0,3,2.5,3,65.0,1.0,1,18,122.0,9
week1_1113,18748.0,3,gch_yellow,1,3.0,8,8.5,3,31.0,16,18.5,6,91.0,3,2.0,0,0.0,1.0,1,27,65.0,5
week1_1113,18751.0,0,highway_green,0,112.7796143,7,7.5,1,1.0,15,16.0,4,64.0,3,2.0,0,0.0,1.0,1,25,373.0,5
week1_1113,18869.0,1,highway_yellow,1,3.0,5,5.0,0,0.0,7,8.0,0,0.0,5,4.0,5,373.0,1.0,1,17,269.0,4
week1_1113,18872.0,2,gch_green,0,26.5758427,5,5.0,0,0.0,8,9.0,0,0.0,4,3.5,4,269.0,1.0,1,17,119.0,10
week1_1113,18898.0,3,gch_yellow,1,3.0,7,7.0,4,36.0,14,15.0,6,83.0,0,0.0,0,0.0,1.0,1,21,69.0,7
week1_1113,18901.0,0,highway_green,0,112.7796143,6,6.0,2,14.0,15,15.7,5,55.0,0,0.0,0,0.0,1.0,1,21,105.0,2
week1_1113,19019.0,1,highway_yellow,1,3.0,4,4.0,0,0.0,8,9.0,0,0.0,2,2.0,2,105.0,1.0,1,14,43.0,1
week1_1113,19022.0,2,gch_green,0,26.5758427,4,4.0,0,0.0,8,9.0,0,0.0,1,1.0,1,43.0,1.0,1,13,120.0,10
week1_1113,19048.0,3,gch_yellow,1,3.0,7,7.0,3,31.0,14,15.0,7,89.0,1,1.0,0,0.0,1.0,1,22,69.0,7
week1_1113,19051.0,0,highway_green,0,112.7796143,6,6.0,1,7.0,13,13.5,6,62.0,1,1.0,0,0.0,1.0,1,20,307.0,4
week1_1113,19169.0,1,highway_yellow,1,3.0,5,5.0,0,0.0,7,8.0,0,0.0,6,5.0,4,307.0,1.0,1,18,216.0,3
week1_1113,19172.0,2,gch_green,0,26.5758427,4,4.0,0,0.0,8,9.0,0,0.0,5,4.0,3,216.0,1.0,1,17,88.0,8
week1_1113,19198.0,3,gch_yellow,1,3.0,6,6.0,3,31.0,13,14.0,5,57.0,0,0.0,0,0.0,1.0,1,19,34.0,4
week1_1113,19201.0,0,highway_green,0,112.7796143,7,7.7,1,7.0,13,13.5,3,27.0,0,0.0,0,0.0,1.0,1,20,45.0,2
week1_1113,19319.0,1,highway_yellow,1,3.0,4,4.0,0,0.0,7,7.0,0,0.0,2,2.0,2,45.0,1.0,1,13,20.0,1
week1_1113,19322.0,2,gch_green,0,26.5758427,4,4.0,0,0.0,7,7.0,0,0.0,1,1.0,1,20.0,1.0,1,12,92.0,9
week1_1113,19348.0,3,gch_yellow,1,3.0,7,7.0,3,27.0,14,15.0,6,65.0,0,0.0,0,0.0,1.0,1,21,43.0,5
